Rey,u_mean,du/dy,TKE*,u_rms,v_rms,w_rms,uv
2797.663602,0.990714496,0.113076418,0.002429335,0.00234754,0.00120626,0.00130487,4.43E-04
2852.923049,0.992518448,0.102230197,0.002364316,0.002264249,0.001191954,0.00127243,3.97E-04
2908.316327,0.994141936,0.091076497,0.00230533,0.002188309,0.001179265,0.001243086,3.50E-04
2963.827781,0.995579044,0.079674454,0.002252795,0.002120376,0.001168197,0.001217018,3.03E-04
3019.441722,0.996824572,0.068033452,0.00220712,0.002061041,0.001158733,0.001194466,2.56E-04
3075.142431,0.997873268,0.056126176,0.002168624,0.002010745,0.001150853,0.001175649,2.10E-04
3130.914166,0.99871958,0.043937694,0.002137536,0.001969828,0.001144543,0.0011607,1.63E-04
3186.741165,0.999358361,0.031516157,0.00211406,0.001938672,0.001139805,0.001149643,1.16E-04
3242.607648,0.999785864,0.018950033,0.002098369,0.001917715,0.001136644,0.001142379,6.97E-05
3298.497826,1,0.006321027,0.002090531,0.001907224,0.001135064,0.001138775,2.32E-05
0,0,10.19142488,5.16E-12,1.03E-11,1.47E-16,4.38E-15,2.86E-19
1.823985601,0.005455137,10.18594755,2.62E-06,4.03E-06,2.42E-11,1.21E-06,2.27E-09
7.294520758,0.021796956,10.16906163,4.12E-05,6.43E-05,5.70E-09,1.81E-05,1.48E-07
16.40531102,0.048949073,10.13638199,0.000202798,0.00032378,1.27E-07,8.17E-05,1.73E-06
29.14721617,0.086744045,10.07036781,0.000618587,0.001015086,1.05E-06,0.000221037,9.92E-06
45.50561696,0.134783357,9.926383083,0.001441828,0.002432611,4.95E-06,0.000446091,3.78E-05
65.46386297,0.192129256,9.627622329,0.002793173,0.004827406,1.62E-05,0.000742722,0.000108047
89.00022199,0.256889377,9.088977292,0.004660786,0.008197477,4.12E-05,0.001082937,0.000245636
116.0895134,0.326019351,8.272408299,0.006824281,0.012122478,8.68E-05,0.001439331,0.000461875
146.7027007,0.39569527,7.226556969,0.008917129,0.015880051,0.000159173,0.001795035,0.000742639
180.8072932,0.462191931,6.072689194,0.01060115,0.018800951,0.000262483,0.002138866,0.001052275
218.3665222,0.522754427,4.945960947,0.011705083,0.02055105,0.000397852,0.002461265,0.001351166
259.3400021,0.575973064,3.944335022,0.012231986,0.02115091,0.000562725,0.002750336,0.001610298
303.684062,0.621633867,3.111547027,0.012290485,0.020833845,0.000751071,0.002996054,0.001817015
351.351383,0.66028861,2.448834599,0.012019652,0.019892433,0.00095392,0.003192951,0.001970684
402.2905509,0.692858105,1.935917896,0.011546276,0.018590875,0.001161117,0.00334056,0.002077532
456.4472261,0.720347992,1.544732016,0.010968504,0.017130077,0.001362608,0.003444323,0.002145436
513.7636679,0.743710637,1.24921119,0.010354723,0.015649303,0.001549993,0.003510149,0.002182272
574.1777477,0.763775243,1.026261646,0.009750087,0.014236739,0.001716702,0.003546733,0.002194513
637.6256913,0.781243409,0.859033936,0.009178362,0.012939261,0.001858277,0.003559185,0.002187521
704.0389159,0.796695265,0.7331622,0.008650251,0.011775112,0.001972204,0.003553185,0.002165275
773.3465166,0.810591708,0.638016619,0.008167433,0.010747695,0.002057779,0.003529392,0.002131371
845.4743521,0.823287202,0.565023905,0.007727393,0.00984842,0.002115894,0.003490473,0.002088287
920.3448805,0.835059042,0.509011832,0.007322478,0.009061737,0.002148681,0.003434537,0.002037803
997.8782927,0.846115334,0.464556642,0.006947961,0.008374181,0.002159039,0.003362702,0.00198124
1077.991507,0.856605663,0.429139741,0.006599168,0.007772382,0.002150407,0.003275548,0.001919862
1160.598423,0.866641986,0.399710831,0.006272874,0.007242651,0.002125984,0.003177113,0.001854525
1245.610933,0.876300325,0.375271823,0.005965284,0.006772633,0.002088719,0.003069216,0.001785976
1332.938146,0.885640078,0.353991141,0.005673558,0.006351041,0.002041374,0.002954701,0.001714803
1422.485993,0.894693131,0.335353297,0.005395282,0.005969125,0.001986425,0.002835014,0.001641745
1514.158884,0.903482892,0.318233452,0.005128389,0.005619333,0.001925865,0.002711581,0.001566717
1607.85838,0.912017728,0.302781715,0.004870589,0.005294403,0.001861313,0.002585461,0.001489323
1703.484705,0.920310221,0.288202458,0.004619926,0.00498763,0.001794175,0.002458048,0.001409458
1800.935341,0.928351618,0.274209122,0.004375908,0.004695654,0.001725728,0.002330435,0.00132768
1900.105339,0.936129176,0.260182052,0.004138369,0.004416245,0.001657263,0.002203231,0.001244475
2000.889421,0.943622166,0.246568638,0.003907216,0.004147488,0.001589942,0.002077002,0.001160026
2103.178633,0.950821729,0.232992392,0.003682598,0.003887499,0.001524685,0.001953012,0.00107429
2206.86455,0.957705276,0.219418521,0.003465334,0.003635269,0.001462253,0.001833146,0.000987175
2311.834911,0.964248359,0.205128189,0.003256469,0.003390523,0.001403297,0.001719117,0.000898749
2417.978549,0.970405857,0.190117461,0.003056444,0.003153212,0.001348448,0.001611229,0.000809452
2525.180824,0.976138281,0.173992372,0.002866752,0.002924336,0.001298143,0.001511026,0.000719535
2633.327644,0.981387985,0.156637648,0.002689863,0.00270696,0.001252758,0.001420007,0.000629288
2742.303091,0.986099838,0.137656406,0.002528645,0.002505416,0.00121269,0.001339183,0.000539109
2851.989598,0.990205639,0.117289204,0.002385605,0.002323811,0.001178282,0.001269117,0.000449241
2962.271062,0.99365578,0.09561004,0.002263276,0.002166387,0.001149857,0.001210309,0.000359429
3073.028091,0.996395077,0.0728431,0.002164373,0.002037732,0.001127638,0.001163376,0.000269486
3184.143118,0.998387323,0.049117427,0.002091491,0.001942137,0.001111805,0.001129041,0.000179524
3295.496749,0.999593905,0.024718765,0.002046841,0.001882975,0.001102367,0.00110834,8.97E-05
3406.969409,1,0,0.002031856,0.001862936,0.001099238,0.001101537,0
0,-1.02E-15,15.33198833,2.54E-31,5.04E-31,8.65E-35,3.98E-33,3.67E-36
0.193706777,0.000513093,15.33148237,2.69E-08,3.91E-08,3.10E-15,1.46E-08,2.34E-12
0.774813894,0.002052234,15.32993384,4.29E-07,6.25E-07,7.86E-13,2.32E-07,1.50E-10
1.743283659,0.004617018,15.32735807,2.16E-06,3.16E-06,1.99E-11,1.16E-06,1.71E-09
3.09904962,0.008206733,15.32372439,6.79E-06,9.97E-06,1.94E-10,3.61E-06,9.69E-09
4.84202823,0.012820447,15.31895614,1.65E-05,2.43E-05,1.13E-09,8.62E-06,3.72E-08
6.972089307,0.01845676,15.31286934,3.39E-05,5.03E-05,4.69E-09,1.74E-05,1.12E-07
9.489096842,0.025113974,15.30520334,6.21E-05,9.30E-05,1.55E-08,3.12E-05,2.85E-07
12.39287597,0.032789875,15.2954522,0.000104905,0.000158334,4.32E-08,5.14E-05,6.41E-07
15.68325181,0.041481325,15.2828493,0.000166138,0.000253009,1.05E-07,7.92E-05,1.31E-06
19.35997179,0.051184154,15.26627543,0.000250149,0.000384614,2.32E-07,0.000115453,2.49E-06
23.42274445,0.061892238,15.24413603,0.000361499,0.00056144,4.68E-07,0.00016109,4.46E-06
27.87160865,0.073597908,15.21434598,0.000504918,0.000792371,8.80E-07,0.000216584,7.57E-06
32.70576777,0.086288658,15.17416084,0.000685157,0.001086628,1.56E-06,0.000282129,1.23E-05
37.92522181,0.099948533,15.1202229,0.000906819,0.001453418,2.62E-06,0.000357605,1.92E-05
43.52958217,0.114554887,15.04853053,0.001174082,0.001901384,4.20E-06,0.000442584,2.90E-05
49.51846024,0.130078384,14.95459143,0.001490404,0.00243796,6.47E-06,0.000536375,4.25E-05
55.89146744,0.146479395,14.83354539,0.001858125,0.003068553,9.64E-06,0.000638059,6.05E-05
62.64802087,0.163707996,14.68047082,0.002278081,0.00379569,1.39E-05,0.000746566,8.39E-05
69.78792622,0.181702428,14.4906608,0.002749243,0.00461824,1.95E-05,0.000860735,0.000113409
77.31040631,0.200389091,14.26009836,0.003268449,0.005530808,2.67E-05,0.000979397,0.0001498
85.21526682,0.219679978,13.9857171,0.003830403,0.006523685,3.57E-05,0.001101424,0.000193585
93.50173057,0.2394773,13.66576916,0.004427537,0.007582517,4.68E-05,0.001225791,0.000245067
102.169409,0.259671434,13.30008591,0.005050488,0.008689246,6.01E-05,0.001351596,0.000304274
111.2177191,0.280145549,12.89016987,0.00568852,0.009822921,7.60E-05,0.001478095,0.000370952
120.6458838,0.300777667,12.43914877,0.006330106,0.010960899,9.46E-05,0.001604677,0.000444555
130.4535144,0.321444269,11.95169886,0.00696367,0.012080318,0.000116157,0.001730865,0.000524275
140.6398338,0.342022862,11.4337383,0.007578032,0.013159047,0.000140739,0.001856276,0.000609097
151.2040647,0.362396616,10.89210515,0.008163217,0.014177319,0.000168514,0.0019806,0.000697834
162.1456243,0.382457964,10.33414343,0.0087107,0.015118269,0.000199581,0.002103549,0.00078922
173.463541,0.40210912,9.767350488,0.009213946,0.015969033,0.000234003,0.002224857,0.000881956
185.1576206,0.421264649,9.199024344,0.009668026,0.016720006,0.000271811,0.002344233,0.000974788
197.2270859,0.439854039,8.635895745,0.010070019,0.017365667,0.000312996,0.002461375,0.00106655
209.6699939,0.457820678,8.083959497,0.010418767,0.017904084,0.000357513,0.002575936,0.001156206
222.4859559,0.475121334,7.548305821,0.010714402,0.018335969,0.000405269,0.002687567,0.001242879
235.6749721,0.491727183,7.03304369,0.01095851,0.018664983,0.00045614,0.002795896,0.00132586
249.2350993,0.507620729,6.541300828,0.011153272,0.018896043,0.000509958,0.002900542,0.001404605
263.1663376,0.522797338,6.075269711,0.011301902,0.0190361,0.000566517,0.003001187,0.001478739
277.468687,0.537254438,5.636299553,0.011407888,0.019092666,0.00062558,0.00309753,0.00154803
292.1382615,0.551011585,5.225034298,0.011475007,0.019073896,0.000686887,0.00318923,0.001612366
307.1770041,0.564079074,4.841458614,0.011507103,0.018987986,0.000750142,0.003276079,0.001671751
322.5810288,0.576482638,4.485112541,0.011508074,0.018843161,0.000815039,0.003357948,0.001726262
338.3522786,0.58824801,4.155137489,0.011481627,0.018647268,0.000881256,0.003434731,0.001776049
354.4868676,0.599400923,3.850429553,0.011431288,0.018407822,0.000948469,0.003506285,0.001821305
370.9867386,0.609967113,3.569685514,0.0113605,0.018131925,0.001016347,0.003572729,0.001862257
387.8480059,0.619982604,3.311510163,0.011272432,0.017826213,0.001084566,0.003634086,0.001899142
405.0706692,0.629478278,3.074416295,0.011169834,0.017496403,0.001152805,0.00369046,0.001932221
422.6547287,0.638479869,2.856947373,0.011055353,0.017147964,0.001220765,0.003741977,0.001961742
440.5962984,0.647023402,2.657646857,0.010931312,0.016785689,0.001288154,0.00378878,0.001987961
458.8973212,0.655129465,2.475134868,0.010799909,0.016413959,0.001354701,0.003831159,0.002011117
477.5539112,0.662834086,2.308062191,0.010662835,0.016036353,0.001420156,0.003869162,0.002031442
496.5660683,0.670162996,2.155156271,0.010521824,0.015656314,0.001484291,0.003903042,0.002049155
515.9337926,0.677136784,2.01526721,0.010378235,0.015276507,0.001546898,0.003933067,0.002064457
535.6531982,0.683776036,1.887306435,0.010233201,0.014899227,0.001607791,0.003959384,0.00207754
555.7242849,0.690116779,1.770262036,0.010087842,0.014526664,0.001666804,0.003982216,0.002088575
576.1451098,0.696169306,1.663198762,0.009942974,0.014160288,0.001723802,0.004001857,0.002097722
596.9156729,0.701959351,1.565273352,0.009799341,0.013801615,0.001778652,0.004018414,0.002105136
618.0340312,0.707502355,1.475685478,0.009657492,0.013451602,0.001831255,0.004032128,0.002110947
639.4982417,0.71282405,1.393709936,0.009517931,0.013111151,0.001881529,0.004043182,0.002115286
661.3063615,0.717929583,1.318685918,0.009380932,0.012780766,0.001929404,0.004051695,0.002118266
683.4583904,0.722839541,1.250007809,0.009246859,0.01246103,0.001974832,0.004057856,0.002119996
705.9504427,0.727574511,1.18711446,0.00911592,0.012152266,0.002017783,0.004061792,0.002120568
728.7844612,0.732144787,1.129492248,0.008988171,0.011854546,0.002058233,0.004063563,0.002120073
751.9565599,0.736555515,1.076673548,0.008863794,0.011568046,0.002096177,0.004063366,0.002118595
